Id,nFollowers
tarruda,561
joselitojunior1,346
mairatma,334
marcelcaraciolo,332
luanfonceca,297
deividazevedo2,268
gileno,230
simoneas02,206
filipeximenes,163
renatooliveira,161
luiztiago,158
fernandocastor,124
ac-pm,123
henvic,122
clovisdasilvaneto,116
fjsj,115
zimmerle,114
brunocoelho,111
fernandogrd,103
adrielcafe,99
arthuralvim,96
paulorec,86
guilhermefarias,81
ktquez,79
brunofarache,75
alsmoreira,74
talitaoliveira,74
lailsonbm,73
dmesquita,70
lmmenge,65
brunobasto,65
guiocavalcanti,59
pcstl,58
horaciojcfilho,54
roselmamendes,52
dakerfp,52
caiorss,49
interaminense,49
victorlaerte,48
eduardocruz,45
henriquemenezes,42
diegocarloslima,42
jonathanslima,41
andrewesteves,39
thiagodiniz,39
diegonvs,39
gallindo,38
gvc,37
jeandersonbc,37
pauloborba,36
rasoliveira,36
chocoelho,36
douglaslira,36
karlafalcao,35
tomersimis,34
marcellustavares,34
dvro,34
jordanamorais,34
embs,33
deyvisonrocha,33
patrickrbc,33
andresmachado,32
vinicius3w,32
thiagoarrais,32
filipevarjao,32
victorcarrico,31
brunolimawd,31
ovictoraurelio,31
tarcisio-marinho,29
alexpessoajr,29
mauriciomanoel,29
arthurmichel,29
brunnogomes,28
mayrarabelo,28
tuliohmendes,27
akshaykarle,27
irgmedeiros,27
lhaisrs,26
HaysaRodrigues,26
iagobelo,25
yelken,25
ramonsantos,25
pereiragislene,25
dayvsonlima,24
lmarinho,24
vanessa,24
paulolieuthier,24
Suburbanno,23
fchicout,23
mateusrevoredo,23
hamorim,22
RodrigoCastiel,22
FranckAJ,22
jayralencar,22
frankjuniorr,22
leopoldomt,22
arthurms,22
julianalucena,22
meiralins,22
casevictor,21
lipse,21
abelb0rges,21
marcosisocram,21
espellcaste,21
felipefarias,21
omailson,20
djalmaafilho,20
mirjahal,20
ThaisaMirely,20
alexjosesilva,20
peaonunes,20
itsmealves,20
Gustavomagalhaes,20
inacionery,19
rpragana,19
Cisneiros,19
matheusmariano,19
daniellqueiroz,18
caiobsouza,18
WandersonAlves,18
eduardo-melo,18
FranciscoMarinho,18
rafaprax,17
felipedealbuquerque,17
araujoraphael,17
rvlb-19,17
herbertt,17
victorfsf,17
lauromoura,17
brandizzi,16
pedroqueiroz,16
foolOnTheHill,16
cleydyr,16
setanta,16
AbrantesMar,16
TigerRobocop,16
joseronierison,16
guilhermepaiva,16
alvarocavalcanti,15
rcaval,15
